                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.81202,                0.38415,                 1.1052,                0.96727,                0.97708,                0.98556,                0.78708,                0.95244,                0.35497,                 1.1712,                0.00604,                0.00604,                0.00604
                     82,                0.80976,                0.38854,                  1.104,                0.94769,                0.98138,                0.97957,                 0.7752,                0.96056,                 0.3669,                  1.195,              0.0059905,              0.0059905,              0.0059905
                     83,                0.80613,                0.38176,                 1.0999,                0.96463,                0.96991,                0.98539,                0.78309,                0.95147,                0.35604,                 1.1779,               0.005941,               0.005941,               0.005941
                     84,                0.81106,                0.37832,                 1.0992,                 0.9637,                0.96991,                0.98241,                0.78005,                0.95201,                0.35902,                 1.1779,              0.0058915,              0.0058915,              0.0058915
                     85,                0.80803,                0.37662,                 1.0993,                0.97019,                  0.957,                0.98223,                0.78372,                0.96478,                0.36761,                 1.1963,               0.005842,               0.005842,               0.005842
                     86,                 0.7883,                0.37408,                 1.0994,                0.95623,                0.97851,                0.97886,                0.77992,                0.94706,                0.36286,                 1.1805,              0.0057925,              0.0057925,              0.0057925
                     87,                0.80052,                0.37608,                 1.0925,                 0.9705,                0.94986,                0.97932,                0.78107,                0.96054,                  0.364,                 1.1928,               0.005743,               0.005743,               0.005743
                     88,                0.79075,                0.37016,                 1.0925,                0.96225,                0.96594,                0.98039,                0.77901,                0.94817,                0.36317,                 1.1842,              0.0056935,              0.0056935,              0.0056935
                     89,                0.78728,                0.37044,                 1.0869,                0.96791,                0.97098,                0.98393,                0.77798,                0.95716,                0.35304,                   1.19,               0.005644,               0.005644,               0.005644
                     90,                0.79609,                0.37218,                 1.0869,                 0.9725,                0.95272,                0.98023,                0.77901,                0.96434,                 0.3651,                 1.1936,              0.0055945,              0.0055945,              0.0055945
                     91,                0.78195,                0.36523,                 1.0876,                0.96858,                0.95989,                0.98117,                0.78347,                0.94539,                0.35924,                  1.176,               0.005545,               0.005545,               0.005545
                     92,                0.78894,                0.36742,                 1.0909,                0.97585,                0.95224,                0.98074,                0.77918,                0.95395,                0.35753,                 1.1879,              0.0054955,              0.0054955,              0.0054955
